stock index,country,year,index price,log_indexprice,inflationrate,oil_prices,exchange_rate,gdppercent,percapitaincome,unemploymentrate,manufacturingoutput,tradebalance,USTreasury
NASDAQ,United States of America,1980,168.61,2.23,0.14,21.59,1,0.09,12575,0.07,,-13.06,0.11
NASDAQ,United States of America,1981,203.15,2.31,0.1,31.77,1,0.12,13976,0.08,,-12.52,0.14
NASDAQ,United States of America,1982,188.98,2.28,0.06,28.52,1,0.04,14434,0.1,,-19.97,0.13
NASDAQ,United States of America,1983,285.43,2.46,0.03,26.19,1,0.09,15544,0.1,,-51.64,0.11
NASDAQ,United States of America,1984,248.89,2.4,0.04,25.88,1,0.11,17121,0.08,,-102.73,0.12
NASDAQ,United States of America,1985,290.25,2.46,0.04,24.09,1,0.07,18237,0.07,,-114.02,0.11
NASDAQ,United States of America,1986,366.97,2.56,0.02,12.51,1,0.06,19071,0.07,,-131.87,0.08
NASDAQ,United States of America,1987,402.57,2.6,0.04,15.4,1,0.06,20039,0.06,,-144.77,0.08
NASDAQ,United States of America,1988,374.43,2.57,0.04,12.58,1,0.08,21417,0.05,,-109.39,0.09
NASDAQ,United States of America,1989,437.8,2.64,0.05,15.86,1,0.08,22857,0.05,,-86.74,0.08
NASDAQ,United States of America,1990,409.18,2.61,0.05,27.28,1,0.02,23889,0.06,182.19,-77.85,0.09
NASDAQ,United States of America,1991,491.69,2.69,0.04,19.5,1,,24342,0.07,185.83,-28.61,0.08
NASDAQ,United States of America,1992,599.26,2.78,0.03,19.41,1,0.04,25419,0.07,189.27,-34.74,0.07
NASDAQ,United States of America,1993,715.16,2.85,0.03,14.52,1,0.03,26387,0.07,166.43,-65.17,0.06
NASDAQ,United States of America,1994,751.65,2.88,0.03,17.16,1,0.04,27695,0.06,187.05,-92.49,0.07
NASDAQ,United States of America,1995,925.19,2.97,0.03,19.03,1,0.03,28691,0.06,208.44,-89.76,0.07
NASDAQ,United States of America,1996,1164.95,3.07,0.03,25.23,1,0.04,29968,0.05,216.82,-96.38,0.06
